,Question,Answer,Category,Type,
15,펠레는 1970년 월드컵에서 몇 개의 골을 넣었나요?,4골,월드컵 관련 질문,obj,
16,승부차기란?,"승부차기(영어: kicks from the penalty mark, penalty shoot-out)는 축구에서 승자를 가려야 하는 상황에서 승부를 가리지 못했을 때 쓰는 방법이다",축구 규칙 관련 질문,obj,
17,VAR이란?,"영상 보조 심판(영어: Video Assistant Referee, VAR)는 축구에서 경기 영상을 통해 판정을 하는 행위를 의미한다",축구 규칙 관련 질문,obj,
18,팀당 경기당 할 수 있는 교체 인원 수는?,3명,축구 규칙 관련 질문,obj,
19,파넨카킥이란?, 페널티 킥에서 힘을 빼고 슛을 가운데로 차는 킥이다. 유래는 창시자인 체코 축구선수 안토닌 파넨카의 이름을 따서 '파넨카'로 명명되었다,축구 규칙 관련 질문,obj,
20,직접 프리킥과 간접 프리킥의 차이점은 무엇인가요?,"간접 프리킥(Indirect free kick)은 미드필드 지역에서 자기편이 상대방에게 또는 상대편이 자기편에게 반칙을 범했을 경우, 또는 자기편이 상대편의 진영에서 오프사이드 또는 반칙을 범했을 경우 심판이 지정해 주는 위치에서 차는 킥을 말한다. 직접 프리킥(直接 free kick)은 축구 경기에서 페널티 에어리어 밖에서 반칙을 한 경우 상대방에게 주어지는 프리킥의 한 종류이다. ",축구 규칙 관련 질문,obj,
21,원정 다듬적 원칙이란?,"원정 다득점 원칙(遠征 多得点 原則, away goal rule)은 축구에서 두 팀이 홈 앤 어웨이로 번갈아 경기를 하여 두 경기의 점수 합계로 승자를 가릴 때 흔히 이용되는 규칙이다. 이 방식에 의하면, 두 경기의 점수를 합산한 결과가 동률일 경우 원정 경기에서 보다 많은 득점을 한 팀이 승자가 된다.",축구 규칙 관련 질문,obj,
22,옐로카드 몇장이 누적되면 레드카드 인가요?,2장,축구 규칙 관련 질문,obj,
23,"축구 선수가 정치적,종교적,개인적인 내용의 슬로건을 포함해도 되나요?","장비에는 정치적, 종교적 또는 개인적인 슬로건, 진술 또는 이미지가 없어야 한다. 선수는 정치적, 종교적, 개인적 슬로건, 진술 또는 이미지를 보여주는 속옷이나 제조업체 로고 이외의 광고를 공개해서는 안된다. 모든 위반 행위에 대해 선수 및/또는 팀은 대회 주최자, 국가 축구 협회 또는 FIFA의 승인을 받는다.",축구 규칙 관련 질문,obj,
24,부심의 임무는 무엇인가요?,"부심은 2명이 임명되며 그 임무는 주심의 판정에 복종하고 다음 사항을 지적하는 것이다.볼 전체가 경기장을 넘어갔을 때.어느 편이 코너 킥, 골 킥, 드로우인을 할 권리가 있는가.오프 사이드 위치에 있는 선수가 처벌을 받아야 하는 경우.선수 교체를 요청했을 때.주심이 인식하지 못한 불법 행위나 기타 사건이 발생했을 때",축구 규칙 관련 질문,obj,
25,게겐프레싱이란?,위르겐 클로프 감독이 보루시아 도르트문트 감독 시절 공 소유권을 잃어버리는 순간 즉각적으로 압박에 들어가는 전술의 의미함,축구 전술 관련 질문,obj,
26,제로톱 전술이란?,"원톱, 투톱 등 최전방 공격수를 두지 않는 전술이다. 이 제로톱(Zero-top) 전술에 기용되는 선수는 폴스 나인(False 9 가짜 공격수) 유형의 공격수이다",축구 전술 관련 질문,obj,
27,3-6-1 포메이션을 사용한 팀은 어디인가요?,2002 한일 월드컵 당시 한국 국가 대표팀,축구 전술 관련 질문,obj,
28,티키타카 전술이란?,티키타카(스페인어: Fútbol Tiqui-Taca)는 스페인어로 탁구공이 왔다갔다 한다는 뜻이다. 축구에서는 짧은 패스로 경기를 풀어나가는 전술을 말한다. 스페인 라리가의 축구팀 FC 바르셀로나가 티키타카를 애용하는 것으로 유명하다.,축구 전술 관련 질문,obj,
29,토탈 풋볼이란?,"토탈 풋볼(네덜란드어: totaalvoetbal →전체 축구)은 네덜란드의 리뉘스 미헐스 감독이 완성시킨 축구 전술로, 한국에서는 토탈 축구(Total Soccer)로 더 널리 불리고 있다.",축구 전술 관련 질문,obj,
30,플레이메이커란?,플레이메이커(Playmaker)는 경기장에서 동료 선수들을 이끌어가며 경기를 지휘하는 역할로서 팀의 중심적 선수를 의미한다,축구 전술 관련 질문,obj,
31,포메이션이란?,축구에서 포메이션(formation)은 경기장에서 뛰는 선수의 대형이나 배치를 뜻한다,축구 전술 관련 질문,obj,
32,저번 시즌 프리미어리그 우승팀은 어디인가요?,멘체스터 시티,팀 및 선수 관련 질문,obj,
33,지금 포체티노가 감독인 팀은 어디인가요?,첼시,팀 및 선수 관련 질문,obj,
34,분데스리가는 어느 국가의 프로축구 리그인가요?,"분데스리가(독일어: Bundesliga, 연방리그)는 독일 프로축구 체제의 최상위 리그로, 푸스발-분데스리가 또는 1. 분데스리가라고도 한다.",팀 및 선수 관련 질문,obj,
35,"FC 바르셀로나의 홈 구장은 무엇이며, 수용 인원은 어떻게 되나요?","홈구장은 캄프 노우이며 수용인원은 99,345명입니다. ",팀 및 선수 관련 질문,obj,
36,엘클라시코란?,엘 클라시코(스페인어: El Clásico) 또는 엘 클라식(카탈루냐어: El Clàssic)은 스페인 프리메라리가의 최대 라이벌인 FC 바르셀로나와 레알 마드리드의 더비 경기를 이르는 말이다. ,팀 및 선수 관련 질문,obj,
37,대한민국 대표팀에서 최다 A매치 출전 기록의 가진 선수는 누구인가요?,홍명보,팀 및 선수 관련 질문,obj,
38,2개의 심장이라는 별명의 가진 대한민국 선수는 누구인가요?,박지성,팀 및 선수 관련 질문,obj,
39,현재 잉들랜드 국가대표의 주장은 어떤 선수인가요?,해리 케인 ,팀 및 선수 관련 질문,obj,
40,2022년 카타르 월드컵 우승팀은?,아르헨티나,21년 9월 이후 내용 질문,obj,
41,2022년 카타르 월드컵 대한민국 국가대표팀의 성적은 어떠한가요?,16강,21년 10월 이후 내용 질문,obj,
42,2022년 프리미어리그에서 가장 많은 골을 넣은 선수는?,에링홀란드,21년 11월 이후 내용 질문,obj,
43,이강인 선수가 활약하고 있는 팀과 리그는?,리그1의 파리셍제르망,21년 12월 이후 내용 질문,obj,
44,21/22 시즌 유로파리그 우승팀은?,아인트라흐트 프랑크푸르,21년 13월 이후 내용 질문,obj,
45,손흥민 선수의 국가대표 득점수는 얼마인가요?,37골,21년 14월 이후 내용 질문,obj,
46,멘시티의 트레블 횟수는 몇번인가요?,1번,21년 15월 이후 내용 질문,obj,
47,"2026 월드컵에서 예상되는 최다 득점자 후보는 누구이며, 그 선수를 뽑은 주요한 이유는 무엇인가요?",,팀 및 선수 관련 질문,sbj,
48,"2022-2023 시즌에서 나폴리가 33년 만에 스쿠데토를 획득했을 때, 가장 중요한 역할을 한 선수는 누구였으며, 그가 팀에 기여한 주요한 요소는 무엇인가요? ",,팀 및 선수 관련 질문,sbj,
49,"2023-2024 시즌에서 이적시장에서 몸값이 가장 크게 상승할 것으로 예상되는 선수는 누구이며, 그 이유는 무엇인가요",,팀 및 선수 관련 질문,sbj,
50,해리 케인이 토트넘을 떠난 후의 뭰헨에서의 첫 시즌에서 예상되는 활약 및 기록은 무엇인가요? (뭰헨의 트레블은 가능할까?),,팀 및 선수 관련 질문,sbj,
51,2015-2016 시즌에 레스터 시티가 프리미어리그 우승을 차지한 주요 요인은 무엇인가요?,,팀 및 선수 관련 질문,sbj,
52,"역사적으로 트레블을 달성한 팀들 중에서 가장 뛰어난 성과를 낸 팀은 무엇이며, 그 팀의 특별한 점은 무엇인가요?",,팀 및 선수 관련 질문,sbj,
53,"2022년 여름 이적 시장에서 최고의 영입을 한 것으로 평가받는 팀은 어디이며, 그 팀이 영입한 선수 중 가장 주요한 선수는 누구였으며 그 선수의 활약이 팀에 미친 영향은 무엇인가요? ",,팀 및 선수 관련 질문,sbj,
54,2022년 여름 이적 시장에서 분데스리가 팀 중 어느 팀이 가장 효율적인 영입을 하였나요? 그리고 그 영입으로 팀 성적에 어떤 변화가 있었나요?,,팀 및 선수 관련 질문,sbj,
55,VAR(Video Assistant Referee) 시스템이 도입된 이후 축구 경기의 전술적 트렌드에 어떤 영향을 미쳤나요?,,축구 전술 관련 질문,sbj,
56,"현대 축구에서 윙 백의 주요한 역할은 무엇이며, 그들의 중요성에 대해서 설명해주세요.",,축구 전술 관련 질문,sbj,
57,중원 싸움과 관련해 '4-4-2' 전술과 '4-2-3-1' 전술의 차이점에 대해 설명해주세요,,축구 전술 관련 질문,sbj,
58,"2022-2023 시즌에 UEFA 챔피언스 리그에서 4강 이상에 진출한 팀 중, 기술적으로나 전략적으로 가장 혁신적인 변화를 보인 팀은 무엇이며, 그 팀의 성공적인 결과에 가장 큰 영향을 준 전략 또는 전술은 무엇이었나요?",,축구 전술 관련 질문,sbj,
59,축구를 통해 어떤 사회적 메시지가 전달되기도 하나요?,,기타,sbj,
60,축구 경기 중에 어떤 통계가 중요하게 사용되나요? 그리고 그 통계의 의미나 중요성은 무엇인가요?,,기타,sbj,
61,"FIFA 월드컵 예선 기간 동안, 어느 지역(예: 남미, 유럽, 아시아)의 예선 경기가 가장 치열한 경쟁을 가지나요? 그 지역의 주요 팀들 중 누가 가장 큰 경쟁을 겪었나요?",,기타,sbj,
,,,,,
,,,,,
